metabolomics_id,hmmf_panel,compound,value
LD_279_05,PFBBr,tyrosine,0.0
LD_279_05,PFBBr,valerate,0.15822
LD_279_05,PFBBr,valine,6.17348
LD_279_05,PFBBr,vanillin,0.0
LD_315_03,PFBBr,2-methylbutyrate,0.12326
LD_315_03,PFBBr,3-aminoisobutyrate,0.0
LD_315_03,PFBBr,4-methylvalerate,0.0
LD_315_03,PFBBr,5-aminovalerate,0.0
LD_315_03,PFBBr,acetate,2.80333
LD_315_03,PFBBr,alanine,18.87381
LD_315_03,PFBBr,aspartate,1.38945
LD_315_03,PFBBr,benzoate,0.99005
LD_315_03,PFBBr,butyrate,2.22056
LD_315_03,PFBBr,catechol,0.0
LD_315_03,PFBBr,crotonate,0.0
LD_315_03,PFBBr,cysteine,1.78992
LD_315_03,PFBBr,desaminotyrosine,0.05279
LD_315_03,PFBBr,dopamine,0.0
LD_315_03,PFBBr,glutamate,2.11209
LD_315_03,PFBBr,glycine,117.01195
LD_315_03,PFBBr,hexanoate,0.07611
LD_315_03,PFBBr,histamine,0.0
LD_315_03,PFBBr,hydrocinnamate,0.0
LD_315_03,PFBBr,indole-3-acetate,0.0
LD_315_03,PFBBr,indole-3-carboxaldehyde,0.0
LD_315_03,PFBBr,indole-3-propionate,0.0
LD_315_03,PFBBr,isobutyrate,0.08154
LD_315_03,PFBBr,isoleucine,73.40546
LD_315_03,PFBBr,isovaleric acid,0.15576
LD_315_03,PFBBr,itaconate,0.0
LD_315_03,PFBBr,leucine,96.232
LD_315_03,PFBBr,lysine,0.23198
LD_315_03,PFBBr,methionine,1.21269
LD_315_03,PFBBr,palmitate,59.29838
LD_315_03,PFBBr,p-cresol,0.0
LD_315_03,PFBBr,phenol,0.0
LD_315_03,PFBBr,phenylacetate,0.0
LD_315_03,PFBBr,phenylalanine,12.78116
LD_315_03,PFBBr,proline,53.56925
LD_315_03,PFBBr,propionate,0.76414
LD_315_03,PFBBr,serine,0.02259
LD_315_03,PFBBr,succinate,0.10788
LD_315_03,PFBBr,synephrine,0.0
LD_315_03,PFBBr,threonine,0.08848
LD_315_03,PFBBr,toluate,0.0
LD_315_03,PFBBr,trans-indole-3-acrylate,0.0
LD_315_03,PFBBr,tryptamine,0.0
LD_315_03,PFBBr,tryptophan,0.04899
LD_315_03,PFBBr,tyramine,7.23644
LD_315_03,PFBBr,tyrosine,0.0
LD_315_03,PFBBr,valerate,0.06043
LD_315_03,PFBBr,valine,112.47496
LD_315_03,PFBBr,vanillin,0.0
LD_318_01,PFBBr,2-methylbutyrate,0.0
LD_318_01,PFBBr,3-aminoisobutyrate,0.0
LD_318_01,PFBBr,4-methylvalerate,0.0
LD_318_01,PFBBr,5-aminovalerate,0.0
LD_318_01,PFBBr,acetate,0.04149
LD_318_01,PFBBr,alanine,0.10472
LD_318_01,PFBBr,aspartate,0.02185
LD_318_01,PFBBr,benzoate,0.06318
LD_318_01,PFBBr,butyrate,0.0
LD_318_01,PFBBr,catechol,0.0
LD_318_01,PFBBr,crotonate,0.0
LD_318_01,PFBBr,cysteine,0.1025
LD_318_01,PFBBr,desaminotyrosine,0.0
LD_318_01,PFBBr,dopamine,0.0
LD_318_01,PFBBr,glutamate,0.01732
LD_318_01,PFBBr,glycine,4.72695
LD_318_01,PFBBr,hexanoate,0.00401
LD_318_01,PFBBr,histamine,0.0
LD_318_01,PFBBr,hydrocinnamate,0.0
LD_318_01,PFBBr,indole-3-acetate,0.0
LD_318_01,PFBBr,indole-3-carboxaldehyde,0.0
LD_318_01,PFBBr,indole-3-propionate,0.0
LD_318_01,PFBBr,isobutyrate,0.0
LD_318_01,PFBBr,isoleucine,0.16976
LD_318_01,PFBBr,isovaleric acid,0.0
LD_318_01,PFBBr,itaconate,0.0
LD_318_01,PFBBr,leucine,0.36099
LD_318_01,PFBBr,lysine,0.04865
LD_318_01,PFBBr,methionine,0.01239
LD_318_01,PFBBr,palmitate,0.07088
LD_318_01,PFBBr,p-cresol,0.0
LD_318_01,PFBBr,phenol,0.00995
LD_318_01,PFBBr,phenylacetate,0.0
LD_318_01,PFBBr,phenylalanine,0.09263
LD_318_01,PFBBr,proline,0.11306
LD_318_01,PFBBr,propionate,0.0
LD_318_01,PFBBr,serine,0.0
LD_318_01,PFBBr,succinate,0.0
LD_318_01,PFBBr,synephrine,0.0
LD_318_01,PFBBr,threonine,0.0
LD_318_01,PFBBr,toluate,0.0
LD_318_01,PFBBr,trans-indole-3-acrylate,0.0
